id	description	en	local
		HUD	HUD
		Objectives	目标
		Clock	时钟
		Minimap	小地图
		Player Names	玩家姓名
		New Chat Messages	有新信息时显示聊天窗口
		Keybind Hints	按键绑定提示
		Tooltip Detail	提示工具
		Show	显示
		Hide	隐藏
		Graphics	画质
		Audio	音频
		Controls	控制
		General	概览
		Language	语言
		AVAILABLE LANGUAGES	可用语言
		LANGUAGE	语言
		Language settings can only be changed from the main menu.	只能从主菜单更改语言设置。
		New Translation	创建新翻译
		NEW TRANSLATION	创建新翻译
		Language name	语言名称
		One or more translations are incomplete	一个或多个翻译不完整
		Official	官方的
		Workshop	创意工坊
		CHANGE LANGUAGE	更改语言
		UPLOAD TRANSLATION	上传翻译
		UPDATE TRANSLATION	更新翻译
		Upload Translation	上传翻译
		Update Translation	更新翻译
		Are you sure you want to upload this translation to the Steam Workshop?	是否确实要将此翻译上传到Steam创意工坊？
		Are you sure you want to update this translation on the Steam Workshop?\n\nAny players who have subscribed to your translation will receive your changes.	您确定要在Steam创意工坊上更新此翻译吗？\n\n任何已订阅您的翻译的玩家都将收到您的更改。
		You must provide a full translation in order to upload to the Steam workshop.	您必须提供完整的翻译才能上传到Steam创意工坊。
		Are you sure you want to change your selected language? This may take a few seconds.	确实要更改所选语言吗？这可能需要几秒钟。
		(settings must be saved for some changes to take effect)	(必须保存设置才能使某些更改生效)
		Your translation has failed to upload to the Steam workshop.	您的翻译未能上传到Steam创意工坊。
		Your translation was successfully uploaded to the Steam workshop.	您的翻译已成功上传到Steam创意工坊。
		TRANSLATION UPLOAD COMPLETE	翻译上传完成
		Back	返回
		Apply/Save	应用/保存
		Reset	重置
		RESET TO DEFAULTS	重置为默认值
		Are you sure you want to reset to defaults?	是否确实要重置为默认值？
		CLEAR BINDING	清除绑定
		Are you sure you want to clear this binding?	确定要清除此绑定吗？
		The resolution in the persistent graphics settings is not available. Defaulting to the current resolution.	持续性图形设置中的分辨率不可用。默认为当前分辨率。
		Are you sure you want to clear the binding for ###?	是否确实要清除 #### 的绑定？
		Are you sure you want to reset your graphics settings to their defaults?	确定要将图形设置重置为默认设置吗？
		Are you sure you want to reset your audio settings to their defaults?	确定要将音频设置重置为默认设置吗？
		Are you sure you want to reset your controls settings to their defaults?	是否确实要将控制设置重置为其默认值？
		Are you sure you want to reset your general settings to their defaults?	确定要将常规设置重置为默认设置吗？
		Are you sure you want to reset your language settings to their defaults? This may take a few seconds.	确实要将语言设置重置为默认设置吗？这可能需要几秒钟。
		Report a Bug	Bug报告
		Suggest a Feature	提议新功能
		Join us on Discord	在Discord上加入我们
		Steam Workshop	Steam创意工坊
		Video Tutorials	视频教程
		Continue	继续
		Load Game	加载游戏
		Multiplayer	多人游戏
		Benchmark	基准测试
		Settings	设置
		Quit	退出
		Stormworks' multiplayer is currently in an early alpha stage of testing. It will contain bugs and is not yet feature complete.	Stormworks的多人游戏目前正处于测试的EA阶段。它将包含错误，尚未完成功能。
		Server Name	服务器名称
		Join	加入
		Internet	互联网
		Join another player's server. Games hosted by your Steam friends are listed below. You can also join a Steam friend by clicking them in your friends list and choosing 'Join Game'.	加入其他玩家的服务器。下面列出了您的Steam好友创建的服务器。你也可以通过点击好友列表中的好友并选择“加入游戏”来加入Steam好友。
		Join a Dedicated server run through Steam. Dedicated servers found by Valve's API will show up here.	加入一个通过Steam运行的专用服务器。Valve的API找到的专用服务器将显示在这里。
		Friends	好友
		Refresh List	刷新列表
		Host a server that your Steam friends can join. Up to 32 friends will be able to join you.	创建一个服务器，您的Steam好友可以加入。最多32位好友可以加入您的服务器。
		Requires Password	需要密码
		Password	密码
		Max Players	最大玩家数
		Host	创建服务器
		Submit	提交
		CHOOSE BASE	选择基地
		DELETE SAVE	删除存档
		Are you sure you want to delete this game?	确定要删除此游戏吗？
		COMPONENT STOCK	零部件库存
		CASH REWARD	现金奖励
		RESEARCH POINTS	研究点
		Mission Failed	任务失败
		Mission Complete	任务完成
		Remove Mission	删除任务
		Toggle Active	切换激活
		MISSIONS	任务
		Mission Selector	任务选择器
		No missions	没有任务
		Official	官方的
		Saved	已保存
		Workshop	创意工坊
		Your saved addons.	你保存的插件
		Addons you've subscribed to on the Steam Workshop.	你在Steam创意工坊订阅的插件
		Official addons created by the Stormworks Devs.	来自Stormworks开发组的官方插件
		no objectives	没有目标
		1 objective	1个目标
		requirements	需求
		UPLOAD NEW ADDON	上传新插件
		Share your addon with other players on the Steam Workshop.	通过Steam创意工坊与其他玩家分享你的插件
		Addon	插件
		Addon Name	插件名称
		Test Location	测试地点
		Enabled Addons	已开启的插件
		Edit Addon Lua	编辑插件Lua脚本
		Toggle All	开启所有
		OVERWRITE EXISTING ADDON	覆盖已有插件
		Overwrite your addon and publish your changes to the Steam Workshop.	覆盖你的插件并把变化上传至Steam创意工坊
		Loading...	加载...
		EXIT	退出
		Exit the editor.	退出编辑器。
		NEW	新的
		Create a new addon.	创建一个新插件
		LOAD	加载
		Load a saved addon.	加载一个已保存的插件
		SAVE	保存
		Save the currently edited addon.	保存当前编辑插件
		ADDON OVERVIEW	插件总览
		View the currently edited addon.	查看当前编辑插件
		LOCATION EDITOR	位置编辑器
		Edit the current addon's locations.	编辑当前插件地点
		View the currently edited addon.	查看当前编辑插件
		ADD CHARACTER	添加角色
		You can customise outfits and whether this character is a survivor or NPC in the properties window. Survivors will follow you and can be picked up, but NPCs can not be interacted with.	你可以在属性窗口中定制装备以及这个角色是幸存者还是NPC。幸存者将跟随你并且可以被捡起，但是NPC不能被交互。
		ADD OBJECT	添加对象
		Objects can be picked up, thrown and moved around by the player. They can be used for delivery missions or just as decoration. You can customise the object type in the properties window.	玩家可以捡起、投掷和移动物体。它们可以用于运输任务或仅仅作为装饰。可以在“属性”窗口中自定义对象类型。
		ADD ZONE	添加区域
		ADD ENV MOD ZONE	添加环境MOD区域
		Env Mod Zones are persistent zones, they can be used to set up advanced mission behaviour at specific world locations and can be manipulated from addon Lua. These zones can be accessed globally by any addon script with functions getZones() and isInZone().	环境MOD区域是永久性区域，它们可以用来在特定的世界位置设置高级任务行为，并且可以通过Playlist Lua进行操作。这些区域可以通过任何Playlist脚本使用函数getZones()和isInZone()进行全局访问。
		Zones are used to specify a location, these zones are local to a addon and can be accessed like any other local component through getLocationObjectData(). Mission Zones are generally more appropriate for constructing procedural style missions.	区域用于指定一个位置，这些区域是playlist的地点，可以像其他本地组件一样通过getLocationObjectData()来访问。任务区一般更适合构建流程式的任务。
		ADD VEHICLE	添加载具
		You can set a vehicle to be static in the properties window. Static vehicles are fixed in place, making them useful for adding buildings or cranes to missions.	可以在“属性”窗口中将载具设置为静态。静态载具被固定在一个位置，这使得它们有助于在任务中增加建筑或机械臂。
		ADD VEHICLE BUTTON	添加载具按钮
		Vehicle buttons allow your mission to interact with a named button on a vehicle. You must parent the button to a vehicle, and set the 'button display name' in the properties window to be the name of a button on the parent vehicle.	载具按钮允许您的任务与载具上的指定按钮交互。必须将按钮设置为载具的父级，并将“属性”窗口中的“按钮显示名称”设置为父级载具上按钮的名称。
		ADD FLARE	添加照明弹
		Flares emit a plume of coloured smoke that can be used to get the player's attention in an emergency situation. The colour of the flare can be customised in the properties window.	照明弹会释放出一股彩色烟雾，在紧急情况下可以用来引起玩家的注意。可以在“属性”窗口中自定义照明弹的颜色。
		ADD FIRE	添加火焰
		Fires can be extinguished using water cannons and will spread to other nearby fires. The size of the fire and whether or not it is initially lit can be customised in the properties window.	火灾可以用高压水枪扑灭，并蔓延到附近的其他火灾中。火的大小以及它最初是否被点燃可以在属性窗口中定制。
		ADD LOOT	添加战利品
		Loot boxes allow you to hide additional rewards in your missions. Each one will give the player a random reward with a value between $6000 and $10000.	战利品箱允许你在任务中隐藏额外的奖励。每位玩家将随机获得一份价值在6000到10000美元之间的奖励。
		ADD ANIMAL	添加动物
		The animal type can be customised in the properties window. If the 'Sharks' difficulty option is enabled, sharks will stalk and attack characters in the water.	可以在“属性”窗口中自定义动物类型。如果启用“鲨鱼”难度选项，鲨鱼将跟踪并攻击水中的角色。
		Done	完成
		Clear Parent	清除父类
		Properties	属性
		Parent to Vehicle	以载具为父类
		Replace Vehicle File	更换载具档案
		Move	移动
		Rotate	旋转
		Resize	调整大小
		Delete	删除
		Message	消息
		Description	说明
		DELETE LOCATION	删除位置
		Are you sure you want to delete this location?	确实要删除此位置吗？
		DELETE MISSION	删除任务
		Are you sure you want to delete this mission?	确定要删除此任务吗？
		DELETE OBJECTIVE	删除目标
		Are you sure you want to delete this objective?	是否确实要删除此目标？
		DELETE TRIGGER	删除触发器
		Are you sure you want to delete this trigger?	确实要删除此触发器吗？
		DELETE COMPONENT	删除组件
		Are you sure you want to delete this mission component?	是否确实要删除此任务组件？
		Are you sure you want to create a new addon?	你确定要创建一个新插件吗？
		Enter a save name for this addon:	输入一个插件保存名字:
		DELETE ADDON	删除插件
		Are you sure you want to delete this addon?	你确定要删除这个插件吗
		OVERWRITE ADDON	覆盖插件
		Are you sure you want to overwrite this addon?	你确定要覆盖这个插件吗
		UPLOAD ADDON	上传插件
		NEW ADDON	新插件
		Are you sure you want to upload this addon to the workshop?\n\n This will make it available to all Stormworks players.	你确定你要将这个插件上传到创意工坊？\n\n这将让所有Stormworks玩家能够游玩该插件
		Are you sure you want to overwrite this workshop playlist?	是否确实要覆盖此创意工坊游玩列表？
		Are you sure you want to test this mission in the world?\n\nYour mission will be automatically despawned when you return to the addon editor.	你确定想要在世界中测试这个任务？\n\n你的任务将在返回插件编辑器时自动销毁
